,title,term,tfidf
16301473,Crafting Your Professional Digital Portfolio,portfolio,0.10517581761235284
14014031,Creating Accessible Data Visualizations Using SAS,sas,0.38491075625264143
14002888,Creating Accessible Data Visualizations Using SAS,academics provides,0.11812723183439239
14002894,Creating Accessible Data Visualizations Using SAS,accelerator,0.11812723183439239
14002895,Creating Accessible Data Visualizations Using SAS,accelerator free,0.11812723183439239
14002919,Creating Accessible Data Visualizations Using SAS,access quantitative,0.11812723183439239
14002922,Creating Accessible Data Visualizations Using SAS,access sas,0.11812723183439239
14002934,Creating Accessible Data Visualizations Using SAS,accessibility team,0.11812723183439239
14004232,Creating Accessible Data Visualizations Using SAS,broaden,0.11812723183439239
14004233,Creating Accessible Data Visualizations Using SAS,broaden access,0.11812723183439239
14004620,Creating Accessible Data Visualizations Using SAS,chrome,0.11812723183439239
3092311,Creating Compelling Infographics,amp,0.23328264993400574
3092322,Creating Compelling Infographics,amp misha,0.17170080518871395
3096824,Creating Compelling Infographics,fraction,0.17170080518871395
3097982,Creating Compelling Infographics,infographics,0.17170080518871395
3099973,Creating Compelling Infographics,misha,0.17170080518871395
3101213,Creating Compelling Infographics,pictorial,0.17170080518871395
3101214,Creating Compelling Infographics,pictorial fraction,0.17170080518871395
3093427,Creating Compelling Infographics,caitlin,0.16239068295204834
3093428,Creating Compelling Infographics,caitlin amp,0.16239068295204834
3097723,Creating Compelling Infographics,image,0.13055916477716414
11444797,Creating Network Graphs in Gephi: Let&#039;s Get Visual!,university,0.22070663019292452
17742342,Creating Network Graphs in Gephi: Let&#039;s Get Visual!,network,0.17869303855712365
17739126,Creating Network Graphs in Gephi: Let&#039;s Get Visual!,gephi,0.16120140732079716
11439582,Creating Network Graphs in Gephi: Let&#039;s Get Visual!,network,0.15070381799882132
17734765,Creating Network Graphs in Gephi: Let&#039;s Get Visual!,assistant,0.149557941025625
11432013,Creating Network Graphs in Gephi: Let&#039;s Get Visual!,association,0.14374629963099725
11443676,Creating Network Graphs in Gephi: Let&#039;s Get Visual!,student association,0.14374629963099725
11436366,Creating Network Graphs in Gephi: Let&#039;s Get Visual!,gephi,0.13595195283593103
11439053,Creating Network Graphs in Gephi: Let&#039;s Get Visual!,medieval,0.13595195283593103
11437777,Creating Network Graphs in Gephi: Let&#039;s Get Visual!,james,0.13042177577612252
18324928,Creating Virtual Realities From Home,scenes,0.24324975777877755
18756013,Creating Virtual Realities From Home,scenes,0.24324975777877755
18800608,Creating Virtual Realities From Home,scenes,0.24324975777877755
19038448,Creating Virtual Realities From Home,scenes,0.24324975777877755
16843547,Creating Virtual Realities From Home,ca,0.188963735069564
16855540,Creating Virtual Realities From Home,twitch,0.188963735069564
16858412,Creating Virtual Realities From Home,ca,0.188963735069564
16870405,Creating Virtual Realities From Home,twitch,0.188963735069564
18324061,Creating Virtual Realities From Home,reality scenes,0.1746789421765741
18755146,Creating Virtual Realities From Home,reality scenes,0.1746789421765741
16784087,Creating Virtual Realities from Home,ca,0.188963735069564
16796080,Creating Virtual Realities from Home,twitch,0.188963735069564
16792955,Creating Virtual Realities from Home,reality,0.16405550166006722
16789702,Creating Virtual Realities from Home,lesson,0.15215034342793476
16784008,Creating Virtual Realities from Home,build,0.11546101383994699
16782713,Creating Virtual Realities from Home,account making,0.094481867534782
16783365,Creating Virtual Realities from Home,ask instructor,0.094481867534782
16783985,Creating Virtual Realities from Home,broadcast,0.094481867534782
16783986,Creating Virtual Realities from Home,broadcast twitch,0.094481867534782
16784017,Creating Virtual Realities from Home,build new,0.094481867534782
17048586,Creating Your Literature Review - Research Strategies,topic,0.2475458044923168
17042621,Creating Your Literature Review - Research Strategies,literature review,0.22008056551005073
17042619,Creating Your Literature Review - Research Strategies,literature,0.21324291096360956
17046294,Creating Your Literature Review - Research Strategies,review,0.18455274595361063
17042189,Creating Your Literature Review - Research Strategies,latin,0.1794286475486376
17046568,Creating Your Literature Review - Research Strategies,scholars,0.1713368837500243
17046610,Creating Your Literature Review - Research Strategies,sciences,0.1680239470213205
17035793,Creating Your Literature Review - Research Strategies,andrew,0.11961909836575842
17042191,Creating Your Literature Review - Research Strategies,latin american,0.11961909836575842
17035580,Creating Your Literature Review - Research Strategies,agriculture,0.11672852109312952
15740466,"Creating Your Literature Review, Part One - Research Strategies",topic,0.2475458044923168
15734501,"Creating Your Literature Review, Part One - Research Strategies",literature review,0.22008056551005073
15734499,"Creating Your Literature Review, Part One - Research Strategies",literature,0.21324291096360956
15738174,"Creating Your Literature Review, Part One - Research Strategies",review,0.18455274595361063
15734069,"Creating Your Literature Review, Part One - Research Strategies",latin,0.1794286475486376
15738448,"Creating Your Literature Review, Part One - Research Strategies",scholars,0.1713368837500243
15738490,"Creating Your Literature Review, Part One - Research Strategies",sciences,0.1680239470213205
15727673,"Creating Your Literature Review, Part One - Research Strategies",andrew,0.11961909836575842
15734071,"Creating Your Literature Review, Part One - Research Strategies",latin american,0.11961909836575842
15727460,"Creating Your Literature Review, Part One - Research Strategies",agriculture,0.11672852109312952
16106126,"Creating Your Literature Review, Part Two - Organizing the Review",literature review,0.3110871287086022
16106124,"Creating Your Literature Review, Part Two - Organizing the Review",literature,0.3014220030532587
16109799,"Creating Your Literature Review, Part Two - Organizing the Review",review,0.20869442497456658
16105694,"Creating Your Literature Review, Part Two - Organizing the Review",latin,0.16908336164565255
16110073,"Creating Your Literature Review, Part Two - Organizing the Review",scholars,0.16145814324600283
16110115,"Creating Your Literature Review, Part Two - Organizing the Review",sciences,0.15833621992627908
16109287,"Creating Your Literature Review, Part Two - Organizing the Review",references,0.12497048117645052
16107583,"Creating Your Literature Review, Part Two - Organizing the Review",organize literature,0.11988700224335068
16099298,"Creating Your Literature Review, Part Two - Organizing the Review",andrew,0.1127222410971017
16105696,"Creating Your Literature Review, Part Two - Organizing the Review",latin american,0.1127222410971017
1704043,Creating a Professional Portfolio,portfolio,0.3107278649263468
1718908,Creating a Professional Portfolio,portfolio,0.3107278649263468
4781098,Creating a Professional Portfolio,portfolio,0.3107278649263468
1704512,Creating a Professional Portfolio,professional,0.1909355679725478
1719377,Creating a Professional Portfolio,professional,0.1909355679725478
4781567,Creating a Professional Portfolio,professional,0.1909355679725478
1704522,Creating a Professional Portfolio,professional portfolio,0.15980438099385674
1719387,Creating a Professional Portfolio,professional portfolio,0.15980438099385674
4781577,Creating a Professional Portfolio,professional portfolio,0.15980438099385674
1699249,Creating a Professional Portfolio,field,0.131475798267889
2764392,Creating a Scholarly Website,website,0.27993963894689966
2755689,Creating a Scholarly Website,hosting,0.24173666640443262
2761810,Creating a Scholarly Website,site,0.21932895235285518
2759927,Creating a Scholarly Website,professional,0.16895803542293777
2751302,Creating a Scholarly Website,blogging,0.12086833320221631
2751303,Creating a Scholarly Website,blogging hosting,0.12086833320221631
